title	count
"""Secret detention centres"" in Europe"	46
1. Taking up and pursuit of the business of credit institutions 2. Capital adequacy of investment firms and credit institutions	12
1. Taking up and pursuit of the business of credit institutions, 2. Capital adequacy of investment firms and credit institutions	44
2004 Annual Report – ECB; Communication strategy on the euro	64
2005 and 2006 Budgets	22
2006 financial year	10
25th anniversary of Solidarity and its message for Europe	44
A new organisational structure for financial services committees	4
A stronger partnership for the outermost regions	6
A world without landmines	18
Access to humanitarian aid in Kashmir	56
Action Plan on the The Hague programme ‘Freedom, security and justice in the European Union’	22
Action against hunger and poverty	56
Activities of the European Ombudsman (2004)	48
Addition of vitamins and other substances	22
Additional Protocol to the EEC-Turkey Association Agreement	6
Adjournment of the session	30
Afghanistan	34
Africa, globalisation and poverty	92
Agenda	96
Agenda for next part-session: see Minutes	2
Agenda for next sitting: see Minutes	2
Agreement Commission – Member States/Philip Morris to combat fraud	18
Agriculture in the outermost regions of the Union	44
Air safety	38
Alternative forms of energy	42
Announcement by the President	12
Announcement by the President: see Minutes	14
Announcements by the President	6
Annual report of the Council on human rights	34
Anti-Semitism and racism	76
Applications for accession of Bulgaria and Romania	106
Applying competition rules to maritime transport	24
Appointment to the ECB Executive Board	20
Approval of Minutes of previous sitting	10
Approval of Minutes of previous sitting: see Minutes	42
Approval of the Commission	14
Area of freedom, security and justice	62
Arms exports	80
Award of the Sakharov Prize (Formal sitting)	10
Azerbaijan	32
BEPGs	10
Balkans	8
Banana import arrangements	26
Bangladesh	22
Basic guidelines for sustainable European tourism	82
Batteries, accumulators and their waste	44
Batteries, accumulators and their waste (vote)	6
Beating global climate change	10
Belarus	62
Bird flu	4
Bird flu - Veterinary expenditure	14
Bird flu - Veterinary expenditure (continuation)	34
Bohunice V1	8
Bolivia	24
Breaches of human rights in China, in particular as regards freedom of religion	30
Budget/Economy	54
Budgetary discharge	74
Bulgaria - Romania	76
Bulgaria's application for membership of the EU	10
Bulgaria's application to become a member of the Union	40
Burma/Myanmar	24
Calendar of part-sessions of the European Parliament for 2006	14
Cambodia	30
Case of Tenzin Delek Rinpoche	26
Certification of train crews	4
Charging of heavy goods vehicles	50
Charging of heavy goods vehicles (vote)	4
Child helplines in Europe (written declaration)	2
Civil liability in respect of the use of motor vehicles	24
Clearing and settlement in the EU	28
Climate change	36
Climate change – Beating global climate change	70
Closing of the session	2
Closure of sitting	12
Combating terrorist financing	12
Commemorative sitting	2
Commission Question Time	410
Commission legislative and work programme (2005) (continuation of debate)	52
Commission's annual policy strategy for 2006	24
Commission's legislative and work programme (2006) (continuation)	20
Common Foreign and Security Policy (2003)	6
Common fisheries policy and the Law of the Sea	26
Common market organisation in fruit and vegetables	42
Common organisation of the markets in sugar	90
Common system of VAT - VAT refunds - VAT applied to highly labour-intensive services	56
Communication of Council common positions: see Minutes	2
Community Border Code	24
Community air traffic controller licence	26
Community development policy	50
Community patent	14
Community railways	90
Competition policy (2003)	24
Competitiveness of audiovisual and information services: protection of minors and human dignity	34
Compulsory licensing for pharmaceutical patents	30
Conditions for access to the natural gas transmission networks	22
Constitution for Europe	150
Constitution for Europe (continuation)	120
Contractual quality requirements for rail freight services	4
Controls on cash movements	14
Corporate tax	44
Corporate tax (vote)	2
Corrections to votes: see Minutes	48
Council Question Time	1052
Criminal record/Criminal justice	54
Cultural diversity	38
Culture 2007	40
Current problems regarding immigration	66
Data retention	90
Data retention (vote)	10
Debates on cases of breaches of human rights, democracy and the rule of law (Rule 115)	74
Debt relief for developing countries	38
Decision on urgent procedure	8
Deliberations of the Committee on Petitions (2003-2004)	18
Deployment and commercial operating phases of the European programme of satellite radionavigation	36
Development and sport	4
Development strategy for Africa	56
Developments in Slovakia regarding police forces	26
Dialogue with churches and non-denominational organisations	32
Digital content in Europe	18
Digital switchover	28
