title	count
'IASCF: Review of the constitution - Public Accountability and the Composition of the IASB Proposals for Change' (debate)	18
(A6-0002/2008 , Ignasi Guardans Cambó) EU Market access for European Companies (vote)	8
(A6-0003/2008 , Fiona Hall) Action Plan for Energy Efficiency: Realising the Potential (vote)	6
(A6-0012/2008 , Jan Andersson) Exposure of workers to the risks arising from physical agents (electromagnetic fields) (vote)	6
(A6-0013/2008 , Richard Corbett) Treaty of Lisbon (vote)	8
(A6-0022/2008 , Hans-Peter Mayer) Installation of lighting and light-signalling devices on wheeled agricultural and forestry tractors (codified version) (vote)	4
(A6-0024/2008 , Françoise Castex) The demographic future of Europe (vote)	22
(A6-0029/2008 , Margarita Starkevičiūtė) Broad Economic Policy Guidelines for 2008-2010 (vote)	14
(A6-0447/2007 , Agustín Díaz de Mera García Consuegra) EUROPOL (vote)	4
(A6-0462/2007 , Monica Frassoni) Monitoring the application of Community law (vote)	4
(A6-0502/2007 , Doris Pack) Adult learning: It is never too late to learn (vote)	4
(A6-0503/2007 , Cem Özdemir) An EU Strategy for Central Asia (vote)	14
(A6-0504/2007 , Kurt Lechner) Consumer credit (vote)	14
(A6-0506/2007 , Bogusław Liberadzki) Amendment of Directive 95/50/EC (implementing powers conferred on the Commission) (vote)	4
(A6-0513/2007 , Paolo Costa) Abolition of discrimination in transport rates and conditions (vote)	4
(A6-0516/2007 , Lydie Polfer) A more effective EU policy for the South Caucasus (vote)	16
(A6-0518/2007 , Glenis Willmott) Community strategy on health and safety at work 2007-2012 (vote)	16
(A6-0519/2007 , Ilda Figueiredo) The role of women in industry (vote)	4
(A6-0520/2007 , Roberta Angelilli) Towards an EU strategy on the rights of the child (vote)	16
1 July 2008, 40 years of Customs Union	30
2006 Annual report of the EIB (debate)	24
2006 Annual report on the CFSP - Annual report on the implementation of the European Security Strategy and ESDP (continuation of debate)	94
2006 Annual report on the CFSP - Annual report on the implementation of the European Security Strategy and ESDP (debate)	38
2006 discharge (debate)	108
2006 discharge: EU general budget, section I - European Parliament (A6-0091/2008 , José Javier Pomés Ruiz) (vote)	22
2006 discharge: EU general budget, section III - Commission (A6-0109/2008 , Dan Jørgensen) (vote)	4
2006 discharge: European Agency for Safety and Health at Work (A6-0128/2008 , Hans-Peter Martin) (vote)	4
2006 discharge: European Foundation for the Improvement of Living and Working Conditions (A6-0111/2008 , Hans-Peter Martin) (vote)	6
2006 discharge: European GNSS Supervisory Authority (A6-0127/2008 , Hans-Peter Martin) (vote)	6
2007 progress report on the Former Yugoslav Republic of Macedonia (A6-0059/2008 , Erik Meijer) (vote)	16
2009 budget guidelines - (sections I, II, IV, V, VI, VII, VIII et IX) (debate)	32
2009 budget: First reflections on the 2009 PDB and mandate for the conciliation (debate)	64
2009 budget: Parliament's estimates (debate)	36
24th Annual Report from the Commission on monitoring the application of Community law (short presentation)	8
4th report on economic and social cohesion - Territorial Agenda and the Leipzig Charter (debate)	122
A European strategy on the Roma (debate)	42
A European strategy on the Roma (vote)	6
A facility providing financial assistance for Member States' balances of payments (A6-0450/2008 , Pervenche Berès) (vote)	6
A facility providing financial assistance for Member States' balances of payments - Financial support to Member States (debate)	38
A more effective EU policy for the South Caucasus - A Black Sea Regional Policy Approach (debate)	108
Abolition of discrimination in transport rates and conditions (debate)	18
Accomplishment of the internal market in Community postal services (debate)	98
Accreditation and market surveillance relating to the marketing of products - Common framework for the marketing of products - Application of certain national technical rules to products lawfully marketed in another Member State - Safety marking on consumer products (debate)	106
Action Plan for Energy Efficiency: Realising the Potential (debate)	58
"Adaptation of a number of instruments to the regulatory procedure with scrutiny, ""omnibus"" Regulation, Part One (A6-0088/2008 , József Szájer) (vote)"	6
"Adaptation of a number of instruments to the regulatory procedure with scrutiny, ""omnibus"" Regulation, Part One - Adaptation of a number of instruments with regard to the regulatory procedure with scrutiny, ""omnibus"" Regulation, Part Three (debate)"	16
"Adaptation of a number of instruments to the regulatory procedure with scrutiny, ""omnibus"" Regulation, Part Two - Alignment of legal acts to the new Comitology Decision (Legislative initiative) (short presentation)"	8
Adaptation of a number of instruments to the regulatory procedure with scrutiny, ‘omnibus’ Regulation, Part Four (A6-0301/2008 , József Szájer) (vote)	4
Addressing the challenge of water scarcity and droughts in the European Union (debate)	54
Adjournment of the session	40
Adoption by Slovakia of the single currency on 1 January 2009(debate)	60
Adult learning: It is never too late to learn (debate)	58
Afghan journalist Perwiz Kambakhsh - The case of the Iranian citizen Seyed Mehdi Kazemi	36
Afghan journalist Perwiz Kambakhsh - The case of the Iranian citizen Seyed Mehdi Kazemi (vote)	8
Agency for the Cooperation of Energy Regulators (A6-0226/2008 , Giles Chichester) (vote)	6
Agenda	24
Agenda for next sitting: see Minutes	4
Agreement EC-Ukraine in relation to preservation of commitments on trade in services (A6-0337/2008 , Zbigniew Zaleski) (vote)	4
Airbus/Boeing WTO disputes (debate)	28
Airport charges	48
Airport charges (debate)	76
Albino killings in Tanzania	24
Albino killings in Tanzania (vote)	2
Allegation of mass graves in Indian-administrated Kashmir	32
Amending budget No 1/2008 - Solidarity Fund - Mobilisation of the European Union's Solidarity Fund (debate)	42
Amendment of Directive 2003/87/EC so as to include aviation activities in the scheme for greenhouse gas emission allowance trading within the Community (debate)	60
Amendment of regulation on a standard financial regulation for executive agencies - Framework Financial Regulation for the bodies referred to in Article 185 of Council Regulation (EC, Euratom) No 1605/2002 (debate)	16
Amendment of the single CMO Regulation (debate)	30
An EU Strategy for Central Asia (debate)	58
An Integrated Maritime Policy for the European Union (debate)	68
Animal health strategy 2007-2013 (A6-0147/2008 , Janusz Wojciechowski) (vote)	10
Animal health strategy 2007-2013 (debate)	58
Announcement by the President	10
Announcements by the President	2
Annual policy strategy 2009 (debate)	72
Annual report on the European Ombudsman's activities in 2007 (A6-0358/2008 , Dushana Zdravkova) (vote)	10
Annual report on the European Ombudsman's activities in 2007 (debate)	68
Applicable law in matrimonial matters (A6-0361/2008 , Evelyne Gebhardt) (vote)	24
Applicable law in matrimonial matters – Amendment of regulation as regards jurisdiction and introducing rules concerning applicable law in matrimonial matters (debate)	50
Application of social security schemes to employed persons, to self-employed persons and to members of their families moving within the Community (debate)	36
Application of the law on customs and agricultural matters (debate)	24
Application of the principle of equal pay for men and women (debate)	86
Application of the principle of mutual recognition to judgments in criminal matters (A6-0285/2008 , Armando França) (vote)	4
Approval of Minutes of previous sitting	18
Approval of the Commission (amendment of the Rules of Procedure) (A6-0198/2008 , Andrew Duff) (vote)	4
Approval of the minutes	20
Approval of the minutes of the previous sitting	6
Approval of the minutes of the previous sitting : see Minutes	10
Approval of the minutes of the previous sitting: see Minutes	2
Approving the appointment of Mrs Androula Vassiliou as a Member of the Commission (B6-0139/2008 ) (vote)	6
Arctic Governance (vote)	12
Arctic governance in a global world (debate)	26
Area of Freedom, Security and Justice (AFSJ) 2007 (vote)	6
Armenia	30
Armenia (vote)	4
Arms exports (Code of Conduct) (debate)	24
Arms exports (Code of Conduct) (vote)	6
Arrest of Chinese dissident Hu Jia (debate)	34
Arrest of Chinese dissident Hu Jia (vote)	6
Autonomous Community tariff quotas on imports of certain fishery products into the Canary Islands (debate)	18
Award of the Sakharov Prize - 20th Anniversary (Formal sitting)	14
Banning of exports and the safe storage of metallic mercury (A6-0102/2008 , Dimitrios Papadimoulis) (vote)	4
Banning of exports and the safe storage of metallic mercury (debate)	34
Belarus	52
Belarus (vote)	8
Better lawmaking 2006 pursuant to Article 9 of the Protocol on the application of the principles of subsidiarity and proportionality (short presentation)	10
Building a Global Climate Change Alliance (short presentation)	12
Burma	40
Burma (vote)	18
Burma: continued detention of political prisoners	38
CAP ‘Health Check’ (debate)	112
CARS 21: A Competitive Automotive Regulatory Framework (debate)	62
Calendar of part-sessions	2
Capital requirements (implementation plan) (B6-0623/2008 ) (vote)	4
Census of the Roma on the basis of ethnicity in Italy (vote)	14
Certain issues relating to motor insurance (debate)	26
Chad	36
Challenges to collective agreements in the EU (A6-0370/2008 , Jan Andersson) (vote)	10
Challenges to collective agreements in the EU (debate)	88
China's policy and its effects on Africa (A6-0080/2008 , Ana Maria Gomes) (vote)	6
China's policy and its effects on Africa (debate)	78
Citizens' petitions during the year 2007 (debate)	42
Citizens’ petitions during the year 2007 (A6-0336/2008 , David Hammerstein) (vote)	10
Classification, labelling and packaging of substances and mixtures - Classification, labelling and packaging of substances and mixtures (amendment of Directives 76/768/EEC, 88/378/EEC, 1999/13/EC, 2000/53/EC, 2002/96/EC and 2004/42/EC) - Classification, labelling and packaging of substances and mixtures (amendment of Regulation (EC) No 648/2004) (debate)	60
Cloning of animals for food supply (debate)	38
Cloning of animals for food supply (vote)	2
Closing of the session	2
Code of Conduct for computerised reservation systems (A6-0248/2008 , Timothy Kirkhope) (vote)	10
Code of Conduct for computerised reservation systems (debate)	50
Collective management of copyrights on-line (debate)	20
Combating cancer in the enlarged EU (debate)	50
Combating cancer in the enlarged European Union (vote)	4
Combating tax evasion connected with intra-Community transactions (common system of VAT) - Combating tax evasion connected with intra-Community transactions - European Court of Auditors' Special Report No 8/2007 concerning administrative cooperation in the Field of VAT (debate)	34
Combating terrorism - Protection of personal data (debate)	160
Commemoration of the Holodomor, the Ukraine artificial famine (1932-1933) (debate)	68
Commission Annual policy strategy 2009 (vote)	8
Commission Question Time	568
Commission measures in 2008-2013 to make use of CAP remote-sensing applications (debate)	28
Commission: budgetary framework and priorities for 2009 (debate)	52
Common authorisation procedure for food additives, food enzymes and food flavourings - Food additives - Flavourings and certain food ingredients with flavouring properties - Food enzymes (debate)	58
Common consular instructions: biometric identifiers and visa applications (debate)	26
Common frame of reference for European contract law (debate)	20
Common organisation of agricultural markets and specific provisions for certain agricultural products as regards the national quotas for milk (debate)	66
Common rules in the field of civil aviation security (debate)	42
Common standards and procedures in Member States for returning illegally staying third-country nationals (A6-0339/2007 , Manfred Weber) (vote)	6
Common standards and procedures in Member States for returning illegally staying third-country nationals (debate)	114
Communication of Council common positions: see Minutes	2
Community Customs Code (debate)	28
Community Tobacco Fund (debate)	48
Community strategy on health and safety at work 2007-2012 (debate)	64
Community system against illegal, unreported and unregulated fishing (A6-0193/2008 , Marie-Hélène Aubert) (vote)	4
Community system against illegal, unreported and unregulated fishing (debate)	52
Community vessel traffic monitoring and information system - Investigation of accidents in the maritime transport sector - The liability of carriers of passengers by sea in the event of an accident - Port State control (recast) - Ship inspection and survey organisations (Directive recast) - Ship inspection and survey organisations (Regulation recast) (continuation of debate)	64
Community vessel traffic monitoring and information system - Investigation of accidents in the maritime transport sector - The liability of carriers of passengers by sea in the event of an accident - Port State control (recast) - Ship inspection and survey organisations (Directive recast) - Ship inspection and survey organisations (Regulation recast) (debate)	20
Competition: Sector inquiry on retail banking - Retail Financial Services in the Single Market (debate)	40
Composition of Parliament: see Minutes	2
Composition of committees and delegations	10
Composition of political groups : see Minutes	6
Concentration and pluralism in the media in the European Union (A6-0303/2008 , Marianne Mikko) (vote)	22
Concentration and pluralism in the media in the European Union (short presentation)	26
Conditions for access to the natural gas transmission networks - Internal market in natural gas - European strategic energy technology plan (debate)	132
Conditions for access to the network for cross-border exchanges in electricity (A6-0228/2008 , Alejo Vidal-Quadras) (vote)	4
Conditions of employment of other servants of the European Communities (A6-0483/2008 , Giuseppe Gargani) (vote)	20
Conditions of entry and residence of third-country nationals for the purposes of highly qualified employment - Single application procedure for residence and work	126
Conditions to be complied with to pursue the occupation of road transport operator (A6-0087/2008 , Silvia-Adriana Ţicău) (vote)	4
Conditions to be complied with to pursue the occupation of road transport operator - International carriage of passengers by coach and bus (recast) - International carriage of goods by road (recast) (debate)	64
Consumer Markets Scoreboard (short presentation)	12
Consumer credit (debate)	56
Contact-point network against corruption (A6-0174/2008 , Hubert Pirker) (vote)	4
Convention on International Interests in Mobile Equipment and its Protocol on matters specific to aircraft equipment (A6-0506/2008 , Georgios Papastamkos) (vote)	6
Cooperation between the special intervention units of the Member States (debate)	30
Coordinated strategy to improve the fight against fiscal fraud (A6-0312/2008 , Sharon Bowles) (vote)	2
Coordinated strategy to improve the fight against fiscal fraud (debate)	34
Coordination of social security systems (A6-0251/2008 , Jean Lambert) (vote)	8
Coordination of social security systems - Coordination of social security systems - Extending Regulation (EC) No 883/2004 to third country nationals otherwise excluded (debate)	62
Corrections to vote and voting intentions: see Minutes	2
Corrections to votes and voting intentions: see Minutes	58
Corrigendum (Rule 204a): see Minutes	14
Cost of obtaining a visa for Belarusian and Ukrainian citizens (debate)	32
Council Question Time	102
Council's approach to revision of OLAF regulation (debate)	26
Coup in Mauritania	36
Coup in Mauritania (vote)	4
Creation of a Roma fingerprints database in Italy (debate)	80
Crises in the car industry (debate)	66
Croatia: 2007 progress report (A6-0048/2008 , Hannes Swoboda) (vote)	16
Croatia: 2007 progress report - Progress Report on the Former Yugoslav Republic of Macedonia (debate)	116
Cross-border cooperation to combat terrorism and cross-border crime (debate)	32
Cross-border enforcement in the field of road safety (debate)	44
Cultural industries in Europe (debate)	52
Culture in a globalising world (debate)	44
Data protection and consumers' rights (debate)	24
Death penalty in Nigeria	24
Debate on the future of Europe (debate)	92
Decision on urgent procedure	14
Democracy, Human Rights and the new Partnership and Cooperation Agreement EU/Vietnam (debate)	36
Democracy, human rights and the new EU-Vietnam Partnership and Cooperation Agreement (vote)	4
Democratic Republic of Congo: clashes in the eastern border areas	30
Demographic tendencies - Economic and social impacts (debate)	56
Deposit-guarantee schemes as regards the coverage level and the payout delay (debate)	38
Deterioration of the situation in Georgia (debate)	60
Deterioration of the situation in Georgia (vote)	4
Disclosure requirements for medium-sized companies and obligation to draw up consolidated accounts - Accounting requirements as regards medium-sized companies (debate)	30
Disturbing situation regarding waste in the Campania region (debate)	48
Documents received: see Minutes	6
Draft general budget 2009 (Section III) - Draft general budget 2009 (Sections I, II, IV, V, VI, VII, VIII and IX) (debate)	106
Draft general budget 2009 as modified by the Council (all sections) (A6-0486/2008 , Jutta Haug/Janusz Lewandowski) (vote)	12
Draft general budget 2009 as modified by the Council (all sections) (debate)	110
Draft general budget of the European Union - 2009 budget (vote)	14
E-Justice (A6-0467/2008 , Diana Wallis) (vote)	6
EC-Bosnia Herzegovina Stabilisation and Association Agreement − EC-Bosnia Herzegovina Stabilisation and Association Agreement (debate)	58
EC-Ukraine Agreement in relation to preservation of commitments on trade in services contained in the Partnership and Cooperation Agreement (debate)	32
EC/Guinea-Bissau Fisheries Partnership Agreement (debate)	18
EC/Mauritania Fisheries Partnership Agreement for the period 1 August 2008 to 31 July 2012 (A6-0278/2008 , Carmen Fraga Estévez) (vote)	4
EC/Mauritania Fisheries Partnership Agreement for the period 1 August 2008 to 31 July 2012 (debate)	22
EMU10: The first 10 years of Economic and Monetary Union and future challenges (A6-0420/2008 , Pervenche Berès, Werner Langen) (vote)	6
EMU10: The first 10 years of Economic and Monetary Union and future challenges (debate)	100
EMU@10 – The first ten years of Economic and Monetary Union (Commission communication) (debate)	58
ERDF, ESF, Cohesion Fund (revenue-generating projects) (debate)	32
EU Annual report on human rights - French initiative at the UN on the decriminalisation of homosexuality (debate)	48
EU Election Observation Missions (A6-0138/2008 , Véronique De Keyser, José Ignacio Salafranca Sánchez-Neyra) (vote)	4
EU Market access for European Companies (debate)	38
EU and PNR data (vote)	10
EU consumer policy strategy 2007-2013 (A6-0155/2008 , Lasse Lehtinen) (vote)	6
EU consumer policy strategy 2007-2013 (debate)	64
EU response to the world financial crisis: follow-up of the informal European Council from 7 November and of the G20 Summit from 15 November 2008 - Commission's legislative and work programme for 2009 (debate)	138
EU strategy for third Aarhus Convention meeting (vote)	10
EU strategy on Roma (debate)	48
EU-Latin America and Caribbean Summit (vote)	8
EU-Russia relations (debate)	124
EU-United States Summit (vote)	4
EU-United States summit	70
EUROPOL (debate)	64
East Timor	32
Egypt (debate)	22
Electronic communications networks and services (A6-0321/2008 , Catherine Trautmann) (vote)	14
Electronic communications networks and services - European Electronic Communications Market Authority - Common approach to the use of the spectrum released by the digital switchover - Electronic communications networks and services, protection of privacy and consumer protection (debate)	134
Electronic communications networks and services, protection of privacy and consumer protection (A6-0318/2008 , Malcolm Harbour) (vote)	10
Emission performance standards for new passenger cars (A6-0419/2008 , Guido Sacconi) (vote)	8
Emission performance standards for new passenger cars (debate)	56
Employment Policy Guidelines for Member States (debate)	74
